"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STINT","TOT","PC_PA","M","2009-01",3.74,
"AUS","STINT","TOT","PC_PA","M","2009-02",3.16,
"AUS","STINT","TOT","PC_PA","M","2009-03",3.16,
"AUS","STINT","TOT","PC_PA","M","2009-04",3.1,
"AUS","STINT","TOT","PC_PA","M","2009-05",3.13,
"AUS","STINT","TOT","PC_PA","M","2009-06",3.25,
"AUS","STINT","TOT","PC_PA","M","2009-07",3.14,
"AUS","STINT","TOT","PC_PA","M","2009-08",3.3,
"AUS","STINT","TOT","PC_PA","M","2009-09",3.37,
"AUS","STINT","TOT","PC_PA","M","2009-10",3.78,
"AUS","STINT","TOT","PC_PA","M","2009-11",3.95,
"AUS","STINT","TOT","PC_PA","M","2009-12",4.13,
"AUS","STINT","TOT","PC_PA","M","2010-01",4.2,
"AUS","STINT","TOT","PC_PA","M","2010-02",4.16,
"AUS","STINT","TOT","PC_PA","M","2010-03",4.33,
"AUS","STINT","TOT","PC_PA","M","2010-04",4.55,
"AUS","STINT","TOT","PC_PA","M","2010-05",4.81,
"AUS","STINT","TOT","PC_PA","M","2010-06",4.89,
"AUS","STINT","TOT","PC_PA","M","2010-07",4.84,
"AUS","STINT","TOT","PC_PA","M","2010-08",4.74,
"AUS","STINT","TOT","PC_PA","M","2010-09",4.82,
"AUS","STINT","TOT","PC_PA","M","2010-10",4.81,
"AUS","STINT","TOT","PC_PA","M","2010-11",5.02,
"AUS","STINT","TOT","PC_PA","M","2010-12",5.03,
"AUS","STINT","TOT","PC_PA","M","2011-01",4.96,
"AUS","STINT","TOT","PC_PA","M","2011-02",4.92,
"AUS","STINT","TOT","PC_PA","M","2011-03",4.92,
"AUS","STINT","TOT","PC_PA","M","2011-04",4.9,
"AUS","STINT","TOT","PC_PA","M","2011-05",5,
"AUS","STINT","TOT","PC_PA","M","2011-06",4.99,
"AUS","STINT","TOT","PC_PA","M","2011-07",4.96,
"AUS","STINT","TOT","PC_PA","M","2011-08",4.86,
"AUS","STINT","TOT","PC_PA","M","2011-09",4.81,
"AUS","STINT","TOT","PC_PA","M","2011-10",4.73,
"AUS","STINT","TOT","PC_PA","M","2011-11",4.62,
"AUS","STINT","TOT","PC_PA","M","2011-12",4.51,
"AUS","STINT","TOT","PC_PA","M","2012-01",4.41,
"AUS","STINT","TOT","PC_PA","M","2012-02",4.37,
"AUS","STINT","TOT","PC_PA","M","2012-03",4.44,
"AUS","STINT","TOT","PC_PA","M","2012-04",4.2,
"AUS","STINT","TOT","PC_PA","M","2012-05",3.66,
"AUS","STINT","TOT","PC_PA","M","2012-06",3.49,
"AUS","STINT","TOT","PC_PA","M","2012-07",3.55,
"AUS","STINT","TOT","PC_PA","M","2012-08",3.62,
