"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","Q","2009-Q1",2.436323,
"AUS","CPI","TOT","AGRWTH","Q","2009-Q2",1.419214,
"AUS","CPI","TOT","AGRWTH","Q","2009-Q3",1.186624,
"AUS","CPI","TOT","AGRWTH","Q","2009-Q4",2.056277,
"AUS","CPI","TOT","AGRWTH","Q","2010-Q1",2.918919,
"AUS","CPI","TOT","AGRWTH","Q","2010-Q2",3.121636,
"AUS","CPI","TOT","AGRWTH","Q","2010-Q3",2.878465,
"AUS","CPI","TOT","AGRWTH","Q","2010-Q4",2.757158,
"AUS","CPI","TOT","AGRWTH","Q","2011-Q1",3.256303,
"AUS","CPI","TOT","AGRWTH","Q","2011-Q2",3.549061,
"AUS","CPI","TOT","AGRWTH","Q","2011-Q3",3.419689,
"AUS","CPI","TOT","AGRWTH","Q","2011-Q4",2.992776,
"AUS","CPI","TOT","AGRWTH","Q","2012-Q1",1.62767,
"AUS","CPI","TOT","AGRWTH","Q","2012-Q2",1.209677,
"AUS","CPI","TOT","AGRWTH","Q","2012-Q3",2.004008,
"AUS","CPI","TOT","AGRWTH","Q","2012-Q4",2.204409,
"AUS","CPI","TOT","AGRWTH","Q","2013-Q1",2.502502,
"AUS","CPI","TOT","AGRWTH","Q","2013-Q2",2.390438,
"AUS","CPI","TOT","AGRWTH","Q","2013-Q3",2.1611,
"AUS","CPI","TOT","AGRWTH","Q","2013-Q4",2.745098,
"AUS","CPI","TOT","AGRWTH","Q","2014-Q1",2.929688,
"AUS","CPI","TOT","AGRWTH","Q","2014-Q2",3.015564,
"AUS","CPI","TOT","AGRWTH","Q","2014-Q3",2.307692,
"AUS","CPI","TOT","AGRWTH","Q","2014-Q4",1.717557,
"AUS","CPI","TOT","AGRWTH","Q","2015-Q1",1.328273,
"AUS","CPI","TOT","AGRWTH","Q","2015-Q2",1.510859,
"AUS","CPI","TOT","AGRWTH","Q","2015-Q3",1.503759,
"AUS","CPI","TOT","AGRWTH","Q","2015-Q4",1.688555,
"AUS","CPI","TOT","AGRWTH","Q","2016-Q1",1.310861,
"AUS","CPI","TOT","AGRWTH","Q","2016-Q2",1.023256,
"AUS","CPI","TOT","AGRWTH","Q","2016-Q3",1.296296,
"AUS","CPI","TOT","AGRWTH","Q","2016-Q4",1.476015,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q1",2.125693,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q2",1.933702,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q3",1.828154,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q4",1.909091,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q1",1.900452,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q2",2.077688,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q3",1.885099,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q4",1.784121,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q1",1.332149,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q2",1.59292,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q3",1.674009,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q4",1.840491,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q1",2.191061,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q2",-0.3484321,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q3",0.6932409,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q4",0.8605852,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q1",1.114923,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q2",3.846154,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q3",3.012048,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q4",3.498293,
"AUS","CPI","TOT","AGRWTH","Q","2022-Q1",5.089058,
"AUS","CPI","TOT","AGRWTH","Q","2022-Q2",6.144781,
"AUS","CPI","TOT","AGRWTH","Q","2022-Q3",7.26817,
"AUS","CPI","TOT","AGRWTH","Q","2022-Q4",7.831822,
