"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STINT","TOT","PC_PA","M","2009-Q1","3.74",
"AUS","STINT","TOT","PC_PA","M","2009-Q1","3.16",
"AUS","STINT","TOT","PC_PA","M","2009-Q1","3.16",
"AUS","STINT","TOT","PC_PA","M","2009-Q2","3.1",
"AUS","STINT","TOT","PC_PA","M","2009-Q2","3.13",
"AUS","STINT","TOT","PC_PA","M","2009-Q2","3.25",
"AUS","STINT","TOT","PC_PA","M","2009-Q3","3.14",
"AUS","STINT","TOT","PC_PA","M","2009-Q3","3.3",
"AUS","STINT","TOT","PC_PA","M","2009-Q3","3.37",
"AUS","STINT","TOT","PC_PA","M","2009-Q4","3.78",
"AUS","STINT","TOT","PC_PA","M","2009-Q4","3.95",
"AUS","STINT","TOT","PC_PA","M","2009-Q4","4.13",
"AUS","STINT","TOT","PC_PA","M","2010-Q1","4.2",
"AUS","STINT","TOT","PC_PA","M","2010-Q1","4.16",
"AUS","STINT","TOT","PC_PA","M","2010-Q1","4.33",
"AUS","STINT","TOT","PC_PA","M","2010-Q2","4.55",
"AUS","STINT","TOT","PC_PA","M","2010-Q2","4.81",
"AUS","STINT","TOT","PC_PA","M","2010-Q2","4.89",
"AUS","STINT","TOT","PC_PA","M","2010-Q3","4.84",
"AUS","STINT","TOT","PC_PA","M","2010-Q3","4.74",
"AUS","STINT","TOT","PC_PA","M","2010-Q3","4.82",
"AUS","STINT","TOT","PC_PA","M","2010-Q4","4.81",
"AUS","STINT","TOT","PC_PA","M","2010-Q4","5.02",
"AUS","STINT","TOT","PC_PA","M","2010-Q4","5.03",
"AUS","STINT","TOT","PC_PA","M","2011-Q1","4.96",
"AUS","STINT","TOT","PC_PA","M","2011-Q1","4.92",
"AUS","STINT","TOT","PC_PA","M","2011-Q1","4.92",
"AUS","STINT","TOT","PC_PA","M","2011-Q2","4.9",
"AUS","STINT","TOT","PC_PA","M","2011-Q2","5",
"AUS","STINT","TOT","PC_PA","M","2011-Q2","4.99",
"AUS","STINT","TOT","PC_PA","M","2011-Q3","4.96",
"AUS","STINT","TOT","PC_PA","M","2011-Q3","4.86",
"AUS","STINT","TOT","PC_PA","M","2011-Q3","4.81",
"AUS","STINT","TOT","PC_PA","M","2011-Q4","4.73",
"AUS","STINT","TOT","PC_PA","M","2011-Q4","4.62",
"AUS","STINT","TOT","PC_PA","M","2011-Q4","4.51",
"AUS","STINT","TOT","PC_PA","M","2012-Q1","4.41",
"AUS","STINT","TOT","PC_PA","M","2012-Q1","4.37",
"AUS","STINT","TOT","PC_PA","M","2012-Q1","4.44",
"AUS","STINT","TOT","PC_PA","M","2012-Q2","4.2",
"AUS","STINT","TOT","PC_PA","M","2012-Q2","3.66",
"AUS","STINT","TOT","PC_PA","M","2012-Q2","3.49",
"AUS","STINT","TOT","PC_PA","M","2012-Q3","3.55",
"AUS","STINT","TOT","PC_PA","M","2012-Q3","3.62",
"AUS","STINT","TOT","PC_PA","M","2012-Q3","3.49",
"AUS","STINT","TOT","PC_PA","M","2012-Q4","3.16",
"AUS","STINT","TOT","PC_PA","M","2012-Q4","3.24",
"AUS","STINT","TOT","PC_PA","M","2012-Q4","3.11",
"AUS","STINT","TOT","PC_PA","M","2013-Q1","3",
"AUS","STINT","TOT","PC_PA","M","2013-Q1","2.94",
"AUS","STINT","TOT","PC_PA","M","2013-Q1","3.05",
"AUS","STINT","TOT","PC_PA","M","2013-Q2","3.02",
"AUS","STINT","TOT","PC_PA","M","2013-Q2","2.82",
"AUS","STINT","TOT","PC_PA","M","2013-Q2","2.8",
"AUS","STINT","TOT","PC_PA","M","2013-Q3","2.76",
"AUS","STINT","TOT","PC_PA","M","2013-Q3","2.6",
"AUS","STINT","TOT","PC_PA","M","2013-Q3","2.58",
"AUS","STINT","TOT","PC_PA","M","2013-Q4","2.58",
"AUS","STINT","TOT","PC_PA","M","2013-Q4","2.58",
"AUS","STINT","TOT","PC_PA","M","2013-Q4","2.6",
"AUS","STINT","TOT","PC_PA","M","2014-Q1","2.62",
"AUS","STINT","TOT","PC_PA","M","2014-Q1","2.63",
"AUS","STINT","TOT","PC_PA","M","2014-Q1","2.65",
"AUS","STINT","TOT","PC_PA","M","2014-Q2","2.68",
"AUS","STINT","TOT","PC_PA","M","2014-Q2","2.69",
"AUS","STINT","TOT","PC_PA","M","2014-Q2","2.7",
"AUS","STINT","TOT","PC_PA","M","2014-Q3","2.65",
"AUS","STINT","TOT","PC_PA","M","2014-Q3","2.63",
"AUS","STINT","TOT","PC_PA","M","2014-Q3","2.66",
"AUS","STINT","TOT","PC_PA","M","2014-Q4","2.72",
"AUS","STINT","TOT","PC_PA","M","2014-Q4","2.75",
"AUS","STINT","TOT","PC_PA","M","2014-Q4","2.75",
"AUS","STINT","TOT","PC_PA","M","2015-Q1","2.7",
"AUS","STINT","TOT","PC_PA","M","2015-Q1","2.36",
"AUS","STINT","TOT","PC_PA","M","2015-Q1","2.3",
"AUS","STINT","TOT","PC_PA","M","2015-Q2","2.25",
"AUS","STINT","TOT","PC_PA","M","2015-Q2","2.15",
"AUS","STINT","TOT","PC_PA","M","2015-Q2","2.15",
"AUS","STINT","TOT","PC_PA","M","2015-Q3","2.14",
"AUS","STINT","TOT","PC_PA","M","2015-Q3","2.14",
"AUS","STINT","TOT","PC_PA","M","2015-Q3","2.17",
"AUS","STINT","TOT","PC_PA","M","2015-Q4","2.15",
"AUS","STINT","TOT","PC_PA","M","2015-Q4","2.22",
"AUS","STINT","TOT","PC_PA","M","2015-Q4","2.34",
"AUS","STINT","TOT","PC_PA","M","2016-Q1","2.3",
"AUS","STINT","TOT","PC_PA","M","2016-Q1","2.28",
"AUS","STINT","TOT","PC_PA","M","2016-Q1","2.31",
"AUS","STINT","TOT","PC_PA","M","2016-Q2","2.26",
"AUS","STINT","TOT","PC_PA","M","2016-Q2","2",
"AUS","STINT","TOT","PC_PA","M","2016-Q2","1.99",
"AUS","STINT","TOT","PC_PA","M","2016-Q3","1.93",
"AUS","STINT","TOT","PC_PA","M","2016-Q3","1.76",
"AUS","STINT","TOT","PC_PA","M","2016-Q3","1.73",
"AUS","STINT","TOT","PC_PA","M","2016-Q4","1.74",
"AUS","STINT","TOT","PC_PA","M","2016-Q4","1.76",
"AUS","STINT","TOT","PC_PA","M","2016-Q4","1.78",
"AUS","STINT","TOT","PC_PA","M","2017-Q1","1.78",
"AUS","STINT","TOT","PC_PA","M","2017-Q1","1.78",
"AUS","STINT","TOT","PC_PA","M","2017-Q1","1.79",
"AUS","STINT","TOT","PC_PA","M","2017-Q2","1.77",
"AUS","STINT","TOT","PC_PA","M","2017-Q2","1.73",
"AUS","STINT","TOT","PC_PA","M","2017-Q2","1.72",
"AUS","STINT","TOT","PC_PA","M","2017-Q3","1.7",
"AUS","STINT","TOT","PC_PA","M","2017-Q3","1.7",
"AUS","STINT","TOT","PC_PA","M","2017-Q3","1.72",
"AUS","STINT","TOT","PC_PA","M","2017-Q4","1.7",
"AUS","STINT","TOT","PC_PA","M","2017-Q4","1.72",
"AUS","STINT","TOT","PC_PA","M","2017-Q4","1.77",
"AUS","STINT","TOT","PC_PA","M","2018-Q1","1.79",
"AUS","STINT","TOT","PC_PA","M","2018-Q1","1.77",
"AUS","STINT","TOT","PC_PA","M","2018-Q1","1.93",
"AUS","STINT","TOT","PC_PA","M","2018-Q2","2.06",
"AUS","STINT","TOT","PC_PA","M","2018-Q2","1.96",
"AUS","STINT","TOT","PC_PA","M","2018-Q2","2.07",
"AUS","STINT","TOT","PC_PA","M","2018-Q3","2.02",
"AUS","STINT","TOT","PC_PA","M","2018-Q3","1.96",
"AUS","STINT","TOT","PC_PA","M","2018-Q3","1.93",
"AUS","STINT","TOT","PC_PA","M","2018-Q4","1.93",
"AUS","STINT","TOT","PC_PA","M","2018-Q4","1.94",
"AUS","STINT","TOT","PC_PA","M","2018-Q4","2.02",
"AUS","STINT","TOT","PC_PA","M","2019-Q1","2.07",
"AUS","STINT","TOT","PC_PA","M","2019-Q1","1.96",
"AUS","STINT","TOT","PC_PA","M","2019-Q1","1.83",
"AUS","STINT","TOT","PC_PA","M","2019-Q2","1.68",
"AUS","STINT","TOT","PC_PA","M","2019-Q2","1.54",
"AUS","STINT","TOT","PC_PA","M","2019-Q2","1.29",
"AUS","STINT","TOT","PC_PA","M","2019-Q3","1.11",
"AUS","STINT","TOT","PC_PA","M","2019-Q3","0.98",
"AUS","STINT","TOT","PC_PA","M","2019-Q3","0.98",
"AUS","STINT","TOT","PC_PA","M","2019-Q4","0.88",
"AUS","STINT","TOT","PC_PA","M","2019-Q4","0.91",
"AUS","STINT","TOT","PC_PA","M","2019-Q4","0.9",
"AUS","STINT","TOT","PC_PA","M","2020-Q1","0.89",
"AUS","STINT","TOT","PC_PA","M","2020-Q1","0.89",
"AUS","STINT","TOT","PC_PA","M","2020-Q1","0.53",
