"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","Q","2009-Q1",5.307301,
"AUS","HUR","TOT","PC_LF","Q","2009-Q2",5.727892,
"AUS","HUR","TOT","PC_LF","Q","2009-Q3",5.682488,
"AUS","HUR","TOT","PC_LF","Q","2009-Q4",5.557441,
"AUS","HUR","TOT","PC_LF","Q","2010-Q1",5.329347,
"AUS","HUR","TOT","PC_LF","Q","2010-Q2",5.289613,
"AUS","HUR","TOT","PC_LF","Q","2010-Q3",5.124328,
"AUS","HUR","TOT","PC_LF","Q","2010-Q4",5.090146,
"AUS","HUR","TOT","PC_LF","Q","2011-Q1",4.967921,
"AUS","HUR","TOT","PC_LF","Q","2011-Q2",4.961765,
"AUS","HUR","TOT","PC_LF","Q","2011-Q3",5.193889,
"AUS","HUR","TOT","PC_LF","Q","2011-Q4",5.205576,
"AUS","HUR","TOT","PC_LF","Q","2012-Q1",5.14205,
"AUS","HUR","TOT","PC_LF","Q","2012-Q2",5.11722,
"AUS","HUR","TOT","PC_LF","Q","2012-Q3",5.274195,
"AUS","HUR","TOT","PC_LF","Q","2012-Q4",5.367774,
"AUS","HUR","TOT","PC_LF","Q","2013-Q1",5.476296,
"AUS","HUR","TOT","PC_LF","Q","2013-Q2",5.628248,
"AUS","HUR","TOT","PC_LF","Q","2013-Q3",5.726206,
"AUS","HUR","TOT","PC_LF","Q","2013-Q4",5.842677,
"AUS","HUR","TOT","PC_LF","Q","2014-Q1",5.900778,
"AUS","HUR","TOT","PC_LF","Q","2014-Q2",5.923574,
"AUS","HUR","TOT","PC_LF","Q","2014-Q3",6.17072,
"AUS","HUR","TOT","PC_LF","Q","2014-Q4",6.257985,
"AUS","HUR","TOT","PC_LF","Q","2015-Q1",6.195242,
"AUS","HUR","TOT","PC_LF","Q","2015-Q2",6.011588,
"AUS","HUR","TOT","PC_LF","Q","2015-Q3",6.180812,
"AUS","HUR","TOT","PC_LF","Q","2015-Q4",5.84156,
"AUS","HUR","TOT","PC_LF","Q","2016-Q1",5.787998,
"AUS","HUR","TOT","PC_LF","Q","2016-Q2",5.680679,
"AUS","HUR","TOT","PC_LF","Q","2016-Q3",5.65769,
"AUS","HUR","TOT","PC_LF","Q","2016-Q4",5.730756,
"AUS","HUR","TOT","PC_LF","Q","2017-Q1",5.794036,
"AUS","HUR","TOT","PC_LF","Q","2017-Q2",5.579787,
"AUS","HUR","TOT","PC_LF","Q","2017-Q3",5.529715,
"AUS","HUR","TOT","PC_LF","Q","2017-Q4",5.474016,
"AUS","HUR","TOT","PC_LF","Q","2018-Q1",5.527889,
"AUS","HUR","TOT","PC_LF","Q","2018-Q2",5.415047,
"AUS","HUR","TOT","PC_LF","Q","2018-Q3",5.209253,
"AUS","HUR","TOT","PC_LF","Q","2018-Q4",5.054686,
"AUS","HUR","TOT","PC_LF","Q","2019-Q1",5.031086,
"AUS","HUR","TOT","PC_LF","Q","2019-Q2",5.222223,
"AUS","HUR","TOT","PC_LF","Q","2019-Q3",5.262026,
"AUS","HUR","TOT","PC_LF","Q","2019-Q4",5.184706,
"AUS","HUR","TOT","PC_LF","Q","2020-Q1",5.179642,
"AUS","HUR","TOT","PC_LF","Q","2020-Q2",6.913951,
"AUS","HUR","TOT","PC_LF","Q","2020-Q3",7.105632,
"AUS","HUR","TOT","PC_LF","Q","2020-Q4",6.805506,
"AUS","HUR","TOT","PC_LF","Q","2021-Q1",5.906306,
"AUS","HUR","TOT","PC_LF","Q","2021-Q2",5.14309,
"AUS","HUR","TOT","PC_LF","Q","2021-Q3",4.651448,
"AUS","HUR","TOT","PC_LF","Q","2021-Q4",4.679987,
"AUS","HUR","TOT","PC_LF","Q","2022-Q1",4.02423,
"AUS","HUR","TOT","PC_LF","Q","2022-Q2",3.780403,
"AUS","HUR","TOT","PC_LF","Q","2022-Q3",3.509727,
"AUS","HUR","TOT","PC_LF","Q","2022-Q4",3.46885,
