"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","Date","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","GDP per capita","Flag Codes","Flags"
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2009-Q1","Q1-2009","USD","US Dollar","0","Units",,,"39161.5",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2009-Q2","Q2-2009","USD","US Dollar","0","Units",,,"38607.6",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2009-Q3","Q3-2009","USD","US Dollar","0","Units",,,"38714.7",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2009-Q4","Q4-2009","USD","US Dollar","0","Units",,,"39191.4",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2010-Q1","Q1-2010","USD","US Dollar","0","Units",,,"39711.3",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2010-Q2","Q2-2010","USD","US Dollar","0","Units",,,"39968.7",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2010-Q3","Q3-2010","USD","US Dollar","0","Units",,,"40198",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2010-Q4","Q4-2010","USD","US Dollar","0","Units",,,"40734.6",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2011-Q1","Q1-2011","USD","US Dollar","0","Units",,,"41236.5",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2011-Q2","Q2-2011","USD","US Dollar","0","Units",,,"41466",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2011-Q3","Q3-2011","USD","US Dollar","0","Units",,,"42021.3",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2011-Q4","Q4-2011","USD","US Dollar","0","Units",,,"42130.1",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2012-Q1","Q1-2012","USD","US Dollar","0","Units",,,"42104.8",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2012-Q2","Q2-2012","USD","US Dollar","0","Units",,,"42208.2",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2012-Q3","Q3-2012","USD","US Dollar","0","Units",,,"42381.4",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2012-Q4","Q4-2012","USD","US Dollar","0","Units",,,"42711",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2013-Q1","Q1-2013","USD","US Dollar","0","Units",,,"43543.7",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2013-Q2","Q2-2013","USD","US Dollar","0","Units",,,"44044",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2013-Q3","Q3-2013","USD","US Dollar","0","Units",,,"44619.8",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2013-Q4","Q4-2013","USD","US Dollar","0","Units",,,"45245.2",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2014-Q1","Q1-2014","USD","US Dollar","0","Units",,,"45516",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2014-Q2","Q2-2014","USD","US Dollar","0","Units",,,"45916.3",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2014-Q3","Q3-2014","USD","US Dollar","0","Units",,,"46064.6",,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","USD","US Dollar","0","Units",,,"45745.8",,
