"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EA19","STINT","TOT","PC_PA","M","2009-Q1","2.4565",
"EA19","STINT","TOT","PC_PA","M","2009-Q1","1.9431",
"EA19","STINT","TOT","PC_PA","M","2009-Q1","1.6355",
"EA19","STINT","TOT","PC_PA","M","2009-Q2","1.4223",
"EA19","STINT","TOT","PC_PA","M","2009-Q2","1.2817",
"EA19","STINT","TOT","PC_PA","M","2009-Q2","1.2279",
"EA19","STINT","TOT","PC_PA","M","2009-Q3","0.975",
"EA19","STINT","TOT","PC_PA","M","2009-Q3","0.8605",
"EA19","STINT","TOT","PC_PA","M","2009-Q3","0.7721",
"EA19","STINT","TOT","PC_PA","M","2009-Q4","0.7375",
"EA19","STINT","TOT","PC_PA","M","2009-Q4","0.7162",
"EA19","STINT","TOT","PC_PA","M","2009-Q4","0.712",
"EA19","STINT","TOT","PC_PA","M","2010-Q1","0.6797",
"EA19","STINT","TOT","PC_PA","M","2010-Q1","0.6617",
"EA19","STINT","TOT","PC_PA","M","2010-Q1","0.645",
"EA19","STINT","TOT","PC_PA","M","2010-Q2","0.6447",
"EA19","STINT","TOT","PC_PA","M","2010-Q2","0.6865",
"EA19","STINT","TOT","PC_PA","M","2010-Q2","0.7276",
"EA19","STINT","TOT","PC_PA","M","2010-Q3","0.8488",
"EA19","STINT","TOT","PC_PA","M","2010-Q3","0.8955",
"EA19","STINT","TOT","PC_PA","M","2010-Q3","0.8805",
"EA19","STINT","TOT","PC_PA","M","2010-Q4","0.9977",
"EA19","STINT","TOT","PC_PA","M","2010-Q4","1.042",
"EA19","STINT","TOT","PC_PA","M","2010-Q4","1.0217",
"EA19","STINT","TOT","PC_PA","M","2011-Q1","1.0172",
"EA19","STINT","TOT","PC_PA","M","2011-Q1","1.0867",
"EA19","STINT","TOT","PC_PA","M","2011-Q1","1.1755",
"EA19","STINT","TOT","PC_PA","M","2011-Q2","1.3212",
"EA19","STINT","TOT","PC_PA","M","2011-Q2","1.4251",
"EA19","STINT","TOT","PC_PA","M","2011-Q2","1.4886",
"EA19","STINT","TOT","PC_PA","M","2011-Q3","1.5976",
"EA19","STINT","TOT","PC_PA","M","2011-Q3","1.5521",
"EA19","STINT","TOT","PC_PA","M","2011-Q3","1.5365",
"EA19","STINT","TOT","PC_PA","M","2011-Q4","1.5759",
"EA19","STINT","TOT","PC_PA","M","2011-Q4","1.4847",
"EA19","STINT","TOT","PC_PA","M","2011-Q4","1.4261",
"EA19","STINT","TOT","PC_PA","M","2012-Q1","1.2222",
"EA19","STINT","TOT","PC_PA","M","2012-Q1","1.0483",
"EA19","STINT","TOT","PC_PA","M","2012-Q1","0.8585",
"EA19","STINT","TOT","PC_PA","M","2012-Q2","0.7443",
"EA19","STINT","TOT","PC_PA","M","2012-Q2","0.6849",
"EA19","STINT","TOT","PC_PA","M","2012-Q2","0.6589",
"EA19","STINT","TOT","PC_PA","M","2012-Q3","0.497",
"EA19","STINT","TOT","PC_PA","M","2012-Q3","0.3324",
"EA19","STINT","TOT","PC_PA","M","2012-Q3","0.2463",
"EA19","STINT","TOT","PC_PA","M","2012-Q4","0.2079",
"EA19","STINT","TOT","PC_PA","M","2012-Q4","0.192",
"EA19","STINT","TOT","PC_PA","M","2012-Q4","0.1855",
"EA19","STINT","TOT","PC_PA","M","2013-Q1","0.2049",
"EA19","STINT","TOT","PC_PA","M","2013-Q1","0.2234",
"EA19","STINT","TOT","PC_PA","M","2013-Q1","0.2061",
