LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2009-Q1,Q1-2009,USD,US Dollar,0,Units,2015,2015,36529.2,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2009-Q2,Q2-2009,USD,US Dollar,0,Units,2015,2015,37237.7,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2009-Q3,Q3-2009,USD,US Dollar,0,Units,2015,2015,37237.2,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2009-Q4,Q4-2009,USD,US Dollar,0,Units,2015,2015,37713,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2010-Q1,Q1-2010,USD,US Dollar,0,Units,2015,2015,38120.4,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2010-Q2,Q2-2010,USD,US Dollar,0,Units,2015,2015,38569,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2010-Q3,Q3-2010,USD,US Dollar,0,Units,2015,2015,39084.8,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2010-Q4,Q4-2010,USD,US Dollar,0,Units,2015,2015,38780,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2011-Q1,Q1-2011,USD,US Dollar,0,Units,2015,2015,38466.4,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2011-Q2,Q2-2011,USD,US Dollar,0,Units,2015,2015,38095.5,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2011-Q3,Q3-2011,USD,US Dollar,0,Units,2015,2015,39028.8,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2011-Q4,Q4-2011,USD,US Dollar,0,Units,2015,2015,39017.4,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2012-Q1,Q1-2012,USD,US Dollar,0,Units,2015,2015,39588.8,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2012-Q2,Q2-2012,USD,US Dollar,0,Units,2015,2015,39227.2,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2012-Q3,Q3-2012,USD,US Dollar,0,Units,2015,2015,39094.3,,
JPN,Japan,B1_GE,Gross domestic product - expenditure approach,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Q,Quarterly,2012-Q4,Q4-2012,USD,US Dollar,0,Units,2015,2015,39087.1,,
