"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","STINT","TOT","PC_PA","M","2009-01",10.6562,
"ZAF","STINT","TOT","PC_PA","M","2009-02",9.2242,
"ZAF","STINT","TOT","PC_PA","M","2009-03",8.6224,
"ZAF","STINT","TOT","PC_PA","M","2009-04",8.28,
"ZAF","STINT","TOT","PC_PA","M","2009-05",7.6788,
"ZAF","STINT","TOT","PC_PA","M","2009-06",7.2264,
"ZAF","STINT","TOT","PC_PA","M","2009-07",7.3867,
"ZAF","STINT","TOT","PC_PA","M","2009-08",7.1616,
"ZAF","STINT","TOT","PC_PA","M","2009-09",6.9392,
"ZAF","STINT","TOT","PC_PA","M","2009-10",6.94192,
"ZAF","STINT","TOT","PC_PA","M","2009-11",7.01,
"ZAF","STINT","TOT","PC_PA","M","2009-12",7.07,
"ZAF","STINT","TOT","PC_PA","M","2010-01",7.11,
"ZAF","STINT","TOT","PC_PA","M","2010-02",7.08,
"ZAF","STINT","TOT","PC_PA","M","2010-03",6.95,
"ZAF","STINT","TOT","PC_PA","M","2010-04",6.59,
"ZAF","STINT","TOT","PC_PA","M","2010-05",6.58,
"ZAF","STINT","TOT","PC_PA","M","2010-06",6.54,
"ZAF","STINT","TOT","PC_PA","M","2010-07",6.48,
"ZAF","STINT","TOT","PC_PA","M","2010-08",6.42,
"ZAF","STINT","TOT","PC_PA","M","2010-09",6.08,
"ZAF","STINT","TOT","PC_PA","M","2010-10",5.97,
"ZAF","STINT","TOT","PC_PA","M","2010-11",5.65,
"ZAF","STINT","TOT","PC_PA","M","2010-12",5.59,
"ZAF","STINT","TOT","PC_PA","M","2011-01",5.54,
"ZAF","STINT","TOT","PC_PA","M","2011-02",5.53,
"ZAF","STINT","TOT","PC_PA","M","2011-03",5.5,
"ZAF","STINT","TOT","PC_PA","M","2011-04",5.46,
"ZAF","STINT","TOT","PC_PA","M","2011-05",5.45,
"ZAF","STINT","TOT","PC_PA","M","2011-06",5.46,
"ZAF","STINT","TOT","PC_PA","M","2011-07",5.49,
"ZAF","STINT","TOT","PC_PA","M","2011-08",5.49,
"ZAF","STINT","TOT","PC_PA","M","2011-09",5.49,
"ZAF","STINT","TOT","PC_PA","M","2011-10",5.49,
"ZAF","STINT","TOT","PC_PA","M","2011-11",5.49,
"ZAF","STINT","TOT","PC_PA","M","2011-12",5.45,
"ZAF","STINT","TOT","PC_PA","M","2012-01",5.47,
"ZAF","STINT","TOT","PC_PA","M","2012-02",5.5,
"ZAF","STINT","TOT","PC_PA","M","2012-03",5.54,
