"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","CPI","TOT","AGRWTH","Q","2009-Q1",8.849558,
"ZAF","CPI","TOT","AGRWTH","Q","2009-Q2",8.151093,
"ZAF","CPI","TOT","AGRWTH","Q","2009-Q3",6.282051,
"ZAF","CPI","TOT","AGRWTH","Q","2009-Q4",5.717916,
"ZAF","CPI","TOT","AGRWTH","Q","2010-Q1",5.378362,
"ZAF","CPI","TOT","AGRWTH","Q","2010-Q2",4.166667,
"ZAF","CPI","TOT","AGRWTH","Q","2010-Q3",3.377563,
"ZAF","CPI","TOT","AGRWTH","Q","2010-Q4",3.485577,
"ZAF","CPI","TOT","AGRWTH","Q","2011-Q1",3.679525,
"ZAF","CPI","TOT","AGRWTH","Q","2011-Q2",4.647059,
"ZAF","CPI","TOT","AGRWTH","Q","2011-Q3",5.425904,
"ZAF","CPI","TOT","AGRWTH","Q","2011-Q4",6.213705,
"ZAF","CPI","TOT","AGRWTH","Q","2012-Q1",6.182026,
"ZAF","CPI","TOT","AGRWTH","Q","2012-Q2",5.902192,
"ZAF","CPI","TOT","AGRWTH","Q","2012-Q3",5.201992,
"ZAF","CPI","TOT","AGRWTH","Q","2012-Q4",5.631493,
"ZAF","CPI","TOT","AGRWTH","Q","2013-Q1",5.876011,
"ZAF","CPI","TOT","AGRWTH","Q","2013-Q2",5.573248,
"ZAF","CPI","TOT","AGRWTH","Q","2013-Q3",6.259863,
"ZAF","CPI","TOT","AGRWTH","Q","2013-Q4",5.434783,
"ZAF","CPI","TOT","AGRWTH","Q","2014-Q1",5.804481,
"ZAF","CPI","TOT","AGRWTH","Q","2014-Q2",6.636501,
"ZAF","CPI","TOT","AGRWTH","Q","2014-Q3",6.386138,
"ZAF","CPI","TOT","AGRWTH","Q","2014-Q4",5.694649,
"ZAF","CPI","TOT","AGRWTH","Q","2015-Q1",4.282964,
"ZAF","CPI","TOT","AGRWTH","Q","2015-Q2",4.526167,
"ZAF","CPI","TOT","AGRWTH","Q","2015-Q3",4.513727,
"ZAF","CPI","TOT","AGRWTH","Q","2015-Q4",4.830469,
"ZAF","CPI","TOT","AGRWTH","Q","2016-Q1",6.506691,
"ZAF","CPI","TOT","AGRWTH","Q","2016-Q2",6.495264,
"ZAF","CPI","TOT","AGRWTH","Q","2016-Q3",6.411398,
"ZAF","CPI","TOT","AGRWTH","Q","2016-Q4",6.867523,
"ZAF","CPI","TOT","AGRWTH","Q","2017-Q1",6.499134,
"ZAF","CPI","TOT","AGRWTH","Q","2017-Q2",5.209657,
"ZAF","CPI","TOT","AGRWTH","Q","2017-Q3",4.560669,
"ZAF","CPI","TOT","AGRWTH","Q","2017-Q4",4.519071,
"ZAF","CPI","TOT","AGRWTH","Q","2018-Q1",3.946298,
"ZAF","CPI","TOT","AGRWTH","Q","2018-Q2",4.307569,
"ZAF","CPI","TOT","AGRWTH","Q","2018-Q3",4.921969,
"ZAF","CPI","TOT","AGRWTH","Q","2018-Q4",4.879016,
"ZAF","CPI","TOT","AGRWTH","Q","2019-Q1",4.148728,
"ZAF","CPI","TOT","AGRWTH","Q","2019-Q2",4.438441,
"ZAF","CPI","TOT","AGRWTH","Q","2019-Q3",4.157132,
"ZAF","CPI","TOT","AGRWTH","Q","2019-Q4",3.744327,
"ZAF","CPI","TOT","AGRWTH","Q","2020-Q1",4.321683,
"ZAF","CPI","TOT","AGRWTH","Q","2020-Q2",2.32816,
"ZAF","CPI","TOT","AGRWTH","Q","2020-Q3",3.03918,
"ZAF","CPI","TOT","AGRWTH","Q","2020-Q4",3.17171,
"ZAF","CPI","TOT","AGRWTH","Q","2021-Q1",3.097983,
"ZAF","CPI","TOT","AGRWTH","Q","2021-Q2",4.947635,
"ZAF","CPI","TOT","AGRWTH","Q","2021-Q3",4.939588,
"ZAF","CPI","TOT","AGRWTH","Q","2021-Q4",5.441696,
"ZAF","CPI","TOT","AGRWTH","Q","2022-Q1",5.83508,
"ZAF","CPI","TOT","AGRWTH","Q","2022-Q2",6.675843,
"ZAF","CPI","TOT","AGRWTH","Q","2022-Q3",7.924145,
"ZAF","CPI","TOT","AGRWTH","Q","2022-Q4",7.674263,
