"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","STINT","TOT","PC_PA","M","2009-Q1","10.6562",
"ZAF","STINT","TOT","PC_PA","M","2009-Q1","9.2242",
"ZAF","STINT","TOT","PC_PA","M","2009-Q1","8.6224",
"ZAF","STINT","TOT","PC_PA","M","2009-Q2","8.28",
"ZAF","STINT","TOT","PC_PA","M","2009-Q2","7.6788",
"ZAF","STINT","TOT","PC_PA","M","2009-Q2","7.2264",
"ZAF","STINT","TOT","PC_PA","M","2009-Q3","7.3867",
"ZAF","STINT","TOT","PC_PA","M","2009-Q3","7.1616",
"ZAF","STINT","TOT","PC_PA","M","2009-Q3","6.9392",
"ZAF","STINT","TOT","PC_PA","M","2009-Q4","6.94192",
"ZAF","STINT","TOT","PC_PA","M","2009-Q4","7.01",
"ZAF","STINT","TOT","PC_PA","M","2009-Q4","7.07",
"ZAF","STINT","TOT","PC_PA","M","2010-Q1","7.11",
"ZAF","STINT","TOT","PC_PA","M","2010-Q1","7.08",
"ZAF","STINT","TOT","PC_PA","M","2010-Q1","6.95",
"ZAF","STINT","TOT","PC_PA","M","2010-Q2","6.59",
"ZAF","STINT","TOT","PC_PA","M","2010-Q2","6.58",
"ZAF","STINT","TOT","PC_PA","M","2010-Q2","6.54",
"ZAF","STINT","TOT","PC_PA","M","2010-Q3","6.48",
"ZAF","STINT","TOT","PC_PA","M","2010-Q3","6.42",
"ZAF","STINT","TOT","PC_PA","M","2010-Q3","6.08",
"ZAF","STINT","TOT","PC_PA","M","2010-Q4","5.97",
"ZAF","STINT","TOT","PC_PA","M","2010-Q4","5.65",
"ZAF","STINT","TOT","PC_PA","M","2010-Q4","5.59",
"ZAF","STINT","TOT","PC_PA","M","2011-Q1","5.54",
"ZAF","STINT","TOT","PC_PA","M","2011-Q1","5.53",
"ZAF","STINT","TOT","PC_PA","M","2011-Q1","5.5",
"ZAF","STINT","TOT","PC_PA","M","2011-Q2","5.46",
