"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"TUR","HUR","TOT","PC_LF","Q","2009-Q1",13.1,
"TUR","HUR","TOT","PC_LF","Q","2009-Q2",13.73333,
"TUR","HUR","TOT","PC_LF","Q","2009-Q3",13.06667,
"TUR","HUR","TOT","PC_LF","Q","2009-Q4",12.23333,
"TUR","HUR","TOT","PC_LF","Q","2010-Q1",12.06667,
"TUR","HUR","TOT","PC_LF","Q","2010-Q2",11.2,
"TUR","HUR","TOT","PC_LF","Q","2010-Q3",10.86667,
"TUR","HUR","TOT","PC_LF","Q","2010-Q4",10.33333,
"TUR","HUR","TOT","PC_LF","Q","2011-Q1",9.666667,
"TUR","HUR","TOT","PC_LF","Q","2011-Q2",9.533334,
"TUR","HUR","TOT","PC_LF","Q","2011-Q3",8.8,
"TUR","HUR","TOT","PC_LF","Q","2011-Q4",8.466666,
"TUR","HUR","TOT","PC_LF","Q","2012-Q1",8.533334,
"TUR","HUR","TOT","PC_LF","Q","2012-Q2",8.266666,
"TUR","HUR","TOT","PC_LF","Q","2012-Q3",8.233334,
"TUR","HUR","TOT","PC_LF","Q","2012-Q4",8.6,
"TUR","HUR","TOT","PC_LF","Q","2013-Q1",8.866667,
"TUR","HUR","TOT","PC_LF","Q","2013-Q2",9,
"TUR","HUR","TOT","PC_LF","Q","2013-Q3",9.2,
"TUR","HUR","TOT","PC_LF","Q","2013-Q4",9.133333,"B"
"TUR","HUR","TOT","PC_LF","Q","2014-Q1",9.4,
"TUR","HUR","TOT","PC_LF","Q","2014-Q2",9.7,
"TUR","HUR","TOT","PC_LF","Q","2014-Q3",10.06667,
"TUR","HUR","TOT","PC_LF","Q","2014-Q4",10.4,
"TUR","HUR","TOT","PC_LF","Q","2015-Q1",10.56667,
"TUR","HUR","TOT","PC_LF","Q","2015-Q2",10.3,
"TUR","HUR","TOT","PC_LF","Q","2015-Q3",10.13333,
"TUR","HUR","TOT","PC_LF","Q","2015-Q4",10.26667,
"TUR","HUR","TOT","PC_LF","Q","2016-Q1",10.16667,
"TUR","HUR","TOT","PC_LF","Q","2016-Q2",10.36667,
"TUR","HUR","TOT","PC_LF","Q","2016-Q3",11.26667,
"TUR","HUR","TOT","PC_LF","Q","2016-Q4",11.73333,
"TUR","HUR","TOT","PC_LF","Q","2017-Q1",11.93333,
"TUR","HUR","TOT","PC_LF","Q","2017-Q2",11.23333,
"TUR","HUR","TOT","PC_LF","Q","2017-Q3",10.46667,
"TUR","HUR","TOT","PC_LF","Q","2017-Q4",10.1,
"TUR","HUR","TOT","PC_LF","Q","2018-Q1",9.933333,
"TUR","HUR","TOT","PC_LF","Q","2018-Q2",10.5,
"TUR","HUR","TOT","PC_LF","Q","2018-Q3",11.16667,
"TUR","HUR","TOT","PC_LF","Q","2018-Q4",12.16667,
"TUR","HUR","TOT","PC_LF","Q","2019-Q1",13.76667,
"TUR","HUR","TOT","PC_LF","Q","2019-Q2",13.73333,
"TUR","HUR","TOT","PC_LF","Q","2019-Q3",14.03333,
"TUR","HUR","TOT","PC_LF","Q","2019-Q4",13.4,
"TUR","HUR","TOT","PC_LF","Q","2020-Q1",12.86667,
"TUR","HUR","TOT","PC_LF","Q","2020-Q2",13.43333,
"TUR","HUR","TOT","PC_LF","Q","2020-Q3",13.26667,
"TUR","HUR","TOT","PC_LF","Q","2020-Q4",13,
"TUR","HUR","TOT","PC_LF","Q","2021-Q1",12.86667,
"TUR","HUR","TOT","PC_LF","Q","2021-Q2",12.46667,
"TUR","HUR","TOT","PC_LF","Q","2021-Q3",11.6,
"TUR","HUR","TOT","PC_LF","Q","2021-Q4",11.16667,
"TUR","HUR","TOT","PC_LF","Q","2022-Q1",10.96667,
"TUR","HUR","TOT","PC_LF","Q","2022-Q2",10.7,
"TUR","HUR","TOT","PC_LF","Q","2022-Q3",10,
"TUR","HUR","TOT","PC_LF","Q","2022-Q4",10.23333,
