"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"TUR","CPI","TOT","AGRWTH","Q","2009-Q1",8.366775,
"TUR","CPI","TOT","AGRWTH","Q","2009-Q2",5.696736,
"TUR","CPI","TOT","AGRWTH","Q","2009-Q3",5.333162,
"TUR","CPI","TOT","AGRWTH","Q","2009-Q4",5.711496,
"TUR","CPI","TOT","AGRWTH","Q","2010-Q1",9.291019,
"TUR","CPI","TOT","AGRWTH","Q","2010-Q2",9.218145,
"TUR","CPI","TOT","AGRWTH","Q","2010-Q3",8.382892,
"TUR","CPI","TOT","AGRWTH","Q","2010-Q4",7.429245,
"TUR","CPI","TOT","AGRWTH","Q","2011-Q1",4.344287,
"TUR","CPI","TOT","AGRWTH","Q","2011-Q2",5.888414,
"TUR","CPI","TOT","AGRWTH","Q","2011-Q3",6.372144,
"TUR","CPI","TOT","AGRWTH","Q","2011-Q4",9.195024,
"TUR","CPI","TOT","AGRWTH","Q","2012-Q1",10.49108,
"TUR","CPI","TOT","AGRWTH","Q","2012-Q2",9.418072,
"TUR","CPI","TOT","AGRWTH","Q","2012-Q3",9.044818,
"TUR","CPI","TOT","AGRWTH","Q","2012-Q4",6.770432,
"TUR","CPI","TOT","AGRWTH","Q","2013-Q1",7.207829,
"TUR","CPI","TOT","AGRWTH","Q","2013-Q2",6.977458,
"TUR","CPI","TOT","AGRWTH","Q","2013-Q3",8.309168,
"TUR","CPI","TOT","AGRWTH","Q","2013-Q4",7.475638,
"TUR","CPI","TOT","AGRWTH","Q","2014-Q1",8.009679,
"TUR","CPI","TOT","AGRWTH","Q","2014-Q2",9.400366,
"TUR","CPI","TOT","AGRWTH","Q","2014-Q3",9.236269,
"TUR","CPI","TOT","AGRWTH","Q","2014-Q4",8.760275,
"TUR","CPI","TOT","AGRWTH","Q","2015-Q1",7.46675,
"TUR","CPI","TOT","AGRWTH","Q","2015-Q2",7.73599,
"TUR","CPI","TOT","AGRWTH","Q","2015-Q3",7.301009,
"TUR","CPI","TOT","AGRWTH","Q","2015-Q4",8.163403,
"TUR","CPI","TOT","AGRWTH","Q","2016-Q1",8.598533,
"TUR","CPI","TOT","AGRWTH","Q","2016-Q2",6.927862,
"TUR","CPI","TOT","AGRWTH","Q","2016-Q3",8.036956,
"TUR","CPI","TOT","AGRWTH","Q","2016-Q4",7.565904,
"TUR","CPI","TOT","AGRWTH","Q","2017-Q1",10.21274,
"TUR","CPI","TOT","AGRWTH","Q","2017-Q2",11.49598,
"TUR","CPI","TOT","AGRWTH","Q","2017-Q3",10.55504,
"TUR","CPI","TOT","AGRWTH","Q","2017-Q4",12.26635,
"TUR","CPI","TOT","AGRWTH","Q","2018-Q1",10.27945,
"TUR","CPI","TOT","AGRWTH","Q","2018-Q2",12.79448,
"TUR","CPI","TOT","AGRWTH","Q","2018-Q3",19.43866,
"TUR","CPI","TOT","AGRWTH","Q","2018-Q4",22.36816,
"TUR","CPI","TOT","AGRWTH","Q","2019-Q1",19.91104,
"TUR","CPI","TOT","AGRWTH","Q","2019-Q2",17.95033,
"TUR","CPI","TOT","AGRWTH","Q","2019-Q3",13.52613,
"TUR","CPI","TOT","AGRWTH","Q","2019-Q4",10.30631,
"TUR","CPI","TOT","AGRWTH","Q","2020-Q1",12.12581,
"TUR","CPI","TOT","AGRWTH","Q","2020-Q2",11.65203,
"TUR","CPI","TOT","AGRWTH","Q","2020-Q3",11.76091,
"TUR","CPI","TOT","AGRWTH","Q","2020-Q4",13.50983,
"TUR","CPI","TOT","AGRWTH","Q","2021-Q1",15.59347,
"TUR","CPI","TOT","AGRWTH","Q","2021-Q2",17.08753,
"TUR","CPI","TOT","AGRWTH","Q","2021-Q3",19.26423,
"TUR","CPI","TOT","AGRWTH","Q","2021-Q4",25.84839,
"TUR","CPI","TOT","AGRWTH","Q","2022-Q1",54.79904,
"TUR","CPI","TOT","AGRWTH","Q","2022-Q2",74.06995,
"TUR","CPI","TOT","AGRWTH","Q","2022-Q3",81.10273,
"TUR","CPI","TOT","AGRWTH","Q","2022-Q4",77.37286,
